o24.ptr8711.spotify.com,149.72.141.16
cloudns1.spotify.com,10.173.37.177
gew1-dnsauthslave-public-vxj0.gew1.spotify.com,104.155.75.171
gew1-dnsauthslave-public-2lsn.gew1.spotify.com,130.211.80.183
ns2.spotify.com,130.211.80.183
cloudns2.spotify.com,10.174.19.160
guc3-dnsauthslave-public-zhq4.guc3.spotify.com,104.197.241.77
guc3-dnsauthslave-public-42k7.guc3.spotify.com,35.225.138.77
guc3-dnsauthslave-pubns-72vd.guc3.spotify.com,34.70.255.124
guc3-dnsauthslave-public-jz9z.guc3.spotify.com,146.148.96.150
ns3.spotify.com,104.197.241.77
ns4.spotify.com,35.187.144.243
ns5.spotify.com,146.148.96.150
bettermau5.spotify.com,35.244.220.83
ns9.spotify.com,34.70.255.124
mydata.spotify.com,35.190.69.110
crashdump.ciqe-gslb.spotify.com,52.51.237.253
edge-web-russia.dual-gslb.spotify.com,35.186.224.25
grafana.dual-gslb.spotify.com,35.239.105.88
weblb-wg-extra.dual-gslb.spotify.com,104.154.126.244
edge-web.dual-gslb.spotify.com,35.186.224.25
edge-grpc.dual-gslb.spotify.com,35.186.224.25
edge-web-guc.dual-gslb.spotify.com,35.186.224.12
weblb-wg.dual-gslb.spotify.com,104.154.127.47
sjc.weblb-wg.dual-gslb.spotify.com,104.154.127.47
webapi-wg.dual-gslb.spotify.com,35.186.224.25
alien.dual-gslb.spotify.com,104.197.213.37
edge-web-split-geo.dual-gslb.spotify.com,35.186.224.25
vpnpartner.dual-gslb.spotify.com,104.155.96.47
edge-web-gew.dual-gslb.spotify.com,35.186.224.11
weblb-wg.gslb.spotify.com,104.154.127.47
sjc.weblb-wg.gslb.spotify.com,194.68.28.178
lon.weblb-wg.gslb.spotify.com,194.132.196.226
alien.gslb.spotify.com,104.155.107.183
ap.gslb.spotify.com,104.154.126.216
idp.gslb.spotify.com,194.132.162.210
ssoproxy.gslb.spotify.com,193.181.5.87
motionbrand.spotify.com,52.17.106.107
pci-testing.spotify.com,216.239.32.21
wg.spotify.com,35.186.224.25
pci.spotify.com,216.239.32.21
o10.em.spotify.com,208.117.49.194
o20.em.spotify.com,167.89.57.100
o11.em.spotify.com,208.117.49.195
o21.em.spotify.com,167.89.57.163
o31.em.spotify.com,149.72.255.238
o1.em.spotify.com,167.89.22.66
o12.em.spotify.com,208.117.50.136
o22.em.spotify.com,149.72.196.242
o32.em.spotify.com,149.72.28.14
o2.em.spotify.com,167.89.22.73
o13.em.spotify.com,208.117.50.137
o23.em.spotify.com,149.72.130.211
o3.em.spotify.com,167.89.23.27
o14.em.spotify.com,208.117.51.103
o34.em.spotify.com,149.72.93.128
o4.em.spotify.com,167.89.23.30
o15.em.spotify.com,167.89.81.103
o25.em.spotify.com,149.72.128.158
o35.em.spotify.com,149.72.132.208
o5.em.spotify.com,208.117.48.80
o16.em.spotify.com,167.89.81.104
o26.em.spotify.com,149.72.241.206
o36.em.spotify.com,149.72.133.204
o6.em.spotify.com,208.117.48.81
o27.em.spotify.com,149.72.136.74
o37.em.spotify.com,149.72.133.64
o7.em.spotify.com,208.117.48.82
o18.em.spotify.com,167.89.58.12
o8.em.spotify.com,208.117.48.83
o19.em.spotify.com,167.89.56.66
o9.em.spotify.com,208.117.48.84
newsroom.spotify.com,216.239.32.21
slackin.spotify.com,52.34.54.26
lb.sso.spotify.com,35.227.201.204
lbnoreload.sso.spotify.com,35.241.22.224
lexikon-slack-app.spotify.com,35.186.229.127
tableau-slack-app.spotify.com,34.96.72.33
canvas.spotify.com,216.239.32.21
ads.spotify.com,216.239.32.21
tags.spotify.com,216.239.32.21
bettermau5-dev.spotify.com,35.241.16.210
